specific,species,species_ref,genus_ori,subgenus,species_syn,species_syn_ref,subspecies_syn,subspecies_syn_ref,subspecies,subspecies_ref
brevimaculatus,cursitans,,Docophorus,,brevimaculatus,"Clayton & Price, 1984:343",,,,
bubonis,oculatus,,Docophorus,,bubonis,"Hopkins & Clay, 1952:339",,,,
capensis,capensis,"Tendeiro, 1963b:80",,,,,,,,
castaneus,cursitans,,Philopterus,,castaneus,"Hopkins & Clay, 1952:339",,,,
ceblebrachys,ceblebrachys,"Denny, 1842:45",Docophorus,,,,,,,
chilensis,chilensis,"Carriker, 1966b:95",,,,,,,,
clypeatus,pallidus,,Docophorus,,clypeatus,"Emerson, 1972a:169",,,,
crenulatus,crenulatus,"Giebel, 1874:78",Docophorus,,,,,,,
crucigerus,crucigerus,"Carriker, 1966b:88",,,,,,,,
cursitans,cursitans,"Nitzsch [In Giebel], 1861a:529",Docophorus,,,,,,,
cursor,cursor,"Burm., 1838:426",Docophorus,,,,,,,
desertae,desertae,"Carriker, 1966b:97",,,,,,,,
diversus,strigis,,Philopterus,,diversus,"Hopkins & Clay, 1953:446",,,,
elutus,elutus,"Carriker, 1966b:87",,,,,,,,
flammineae,rostratus,,Nirmus,,flammineae,"Hopkins & Clay, 1952:339",,,,
fukuro,heterocerus,,,,fukuro,"Hopkins & Clay, 1952:339",,,,
garylarsoni,garylarsoni,"Clayton, 1990:258",,,,,,,,
glaucidii,splendens,,,,glaucidii,,,,,
goniodicerus,goniodicerus,"Eichler, 1949e:11",,,,,,,,
heteroceros,goniodicerus,,Docophorus,,heteroceros,"Nitzsch [In Giebel], 1861a:527) ",,,,
heterocerus,heterocerus,"Grube, 1851:469",Docophorus,,,,,,,
heterogenitalis,heterogenitalis,"Emerson & Elbel, 1957b:198",,,,,,,,
heterurus,heterurus,"Carriker, 1966b:92",,,,,,,,
hopkinsi,strigis,,Neodocophorus,,hopkinsi,"Hopkins & Clay, 1952:339",,,,
jardini,jardini,"Carriker, 1966b:93",,,,,,,,
ketupae,ketupae,"Emerson & Elbel, 1957b:196",,,,,,,,
laticephalus,laticephalus,"Uchida, 1949:543",Philopterus,,,,,,,
lophostrix,lophostrix,"Carriker, 1966b:89",,,,,,,,
macrogenitalis,macrogenitalis,"Emerson & Elbel, 1957b:197",,,,,,,,
marshalli,marshalli,"Clay, 1966d:835",,,,,,,,
microgenitalis,microgenitalis,"Carriker, 1966b:92",,,,,,,,
minimus,lophostrix,,,,minimus,"Clayton & Price, 1984:358",,,,
nemoralis,nemoralis,"Clay, 1974b:144",,,,,,,,
nudipes,cursor,,Docophorus,,nudipes,"Clay, 1966d:844",,,,
oculatus,oculatus,"Rudow, 1870b:465",Nirmus,,,,,,,
otus,otus,"Emerson, 1955a:241",,,,,,,,
pallidus,pallidus,"Giebel, 1874:78",Docophorus,,,,,,,
perspicillatus,elutus,,,,perspicillatus,"Clayton & Price, 1984:356",,,,
petersoni,petersoni,"Clayton, 1990:260",,,,,,,,
portigi,portigi,"Eichler, 1952f:154",,,,,,,,
remotus,remotus,"Kellogg & Chapman, 1899:107",Oncophorus,,,,,,,
riparius,riparius,"Clay, 1974b:144",,,,,,,,
rostratus,rostratus,"Burm., 1838:427",Docophorus,,,,,,,
schemskei,schemskei,"Clayton, 1990:257",,,,,,,,
senegalensis,tuleskovi,,,,senegalensis,"Clayton & Price, 1984:347",,,,
siamensis,siamensis,"Emerson & Elbel, 1957b:197",,,,,,,,
speotyti,speotyti,"Osborn, 1896:222",Docophorus,,,,,,,
speotyti altiplanus,desertae,,,,,,speotyti altiplanus,"Carriker, 1966b:96 ",,
speotyti magdalenae,desertae,,,,,,speotyti magdalenae,"Carriker, 1966b:98 ",,
speotyto,desertae,,Eustrigiphilus,,speotyto,"Clayton & Price, 1984:352",,,,
splendens,splendens,"Giebel, 1874:79",Docophorus,,,,,,,
stridulae,cursor,,Nirmus,,stridulae,"Hopkins & Clay, 1952:340",,,,
strigis,ceblebrachys,,Pediculus,,strigis,"Fabricius [O.], 1780:216) ",,,,
strigis,strigis,"Pontoppidan, 1763:699",Pediculus,,,,,,,
strigis,strigis,,Pediculus,,strigis,"Hopkins & Clay, 1952:340",,,,
sulcatus,rostratus,,Docophorus,,sulcatus,"Hopkins & Clay, 1953:446",,,,
syrnii,syrnii,"Packard, 1873:733",Docophorus,,,,,,,
tuleskovi,tuleskovi,"Balát, 1958:418",,,,,,,,
uralensis,heterocerus,,Neodocophorus,,uralensis,"Hopkins & Clay, 1952:340",,,,
vapidus,vapidus,"Clay, 1977:1",,,,,,,,
varius,syrnii,,,,varius,"Clayton & Price, 1984:349",,,,
virgo,virgo,"Giebel, 1874:79",Docophorus,,,,,,,
viridicus,virgo,,,,viridicus,"Clay, 1966d:844",,,,
whitei,whitei,"Clay, 1974b:145",,,,,,,,
zumpti,zumpti,"Ledger, 1970a:119",,,,,,,,
abdominalis,abdominalis,"Carriker, 1936:87",,,,,,,,
albigularis,albigularis,"Guimarães & Lane, 1937:19",,,,,,,,
angulocapitis,cordiceps,,,,angulocapitis,"Ward, 1957:342",,,,
angulocapitis bolivarensis,cordiceps,,,,,,angulocapitis bolivarensis,"Carriker, 1953c:342 ",,
angulocapitis carrikeri,taoi,,,,,,angulocapitis carrikeri,"Guimarães, 1948:166 ",,
angulocapitis ruficeps,cordiceps,,,,,,angulocapitis ruficeps,"Carriker, 1944a:118 ",,
angulocapitis weddelli,taoi,,,,,,angulocapitis weddelli,"Carriker, 1944a:116 ",,
ansatus,tinami,,Nirmus,,ansatus,"Hopkins & Clay, 1952:341",,,,
berlepschi,berlepschi,"Carriker, 1953c:343",,,,,,,,
columbianus,columbianus,"Carriker, 1953c:328",,,,,,,,
complanatus,complanatus,"Piaget, 1880:262",Goniodes,,,,,,,
complanatus boucardi,fimbriatus,,,,,,complanatus boucardi,"Carriker, 1944a:107 ",,
complanatus intermedius,nirmoides,,,,,,complanatus intermedius,"Carriker, 1944a:104 ",,
cordiceps,cordiceps,"Carriker, 1936:83",Nirmocotes,,,,,,,
crassiceps,lipogonus,,Nirmus,,crassiceps,"Hopkins & Clay, 1952:341",,,,
fimbriatus,fimbriatus,"Clay, 1937:156",,,,,,,,
glabrous,glabrous,"Carriker, 1936:82",Nirmocotes,,,,,,,
idoneus,idoneus,"Carriker, 1953c:329",,,,,,,,
interruptus,interruptus,"Carriker, 1936:85",,,,,,,,
interruptus caquetae,variegatus,,,,,,interruptus caquetae,"Carriker, 1953c:327 ",,
latithorax,wernecki,,,,latithorax,"Hopkins & Clay, 1952:342",,,,
limai,limai,"Guimarães, 1936b:48",,,,,,,,
lipogonus,lipogonus,"Nitzsch [In Giebel], 1866:388",Goniodes,,,,,,,
lipogonus alticola,lipogonus,,,,,,lipogonus alticola,"Carriker, 1944a:121 ",,
nirmoides,nirmoides,"Carriker, 1936:80",Nirmocotes,,,,,,,
noctivagi,noctivagi,"Clay, 1937:156",,,,,,,,
orbicularis,orbicularis,"Carriker, 1936:79",,,,,,,,
paucisetosus,glabrous,,,,paucisetosus,"Hopkins & Clay, 1952:342",,,,
pellucidifrons,cordiceps,,,,pellucidifrons,"Ward, 1957:342",,,,
setifer,variegatus,,,,setifer,"Hopkins & Clay, 1952:343",,,,
setosus,variegatus,,Goniodes,,setosus,"Hopkins & Clay, 1952:343",,,,
spinosus,spinosus,"Piaget, 1880:261",Goniodes,,,,,,,
spinosus bonaparti,subspinosus,,,,,,spinosus bonaparti,"Carriker, 1944a:113 ",,
spinosus intercedens,subspinosus,,,,,,spinosus intercedens,"Carriker, 1953c:340 ",,
spinosus peruvianus,subspinosus,,,,,,spinosus peruvianus,"Carriker, 1944a:113 ",,
subconiceps,subconiceps,"Carriker, 1936:90",,,,,,,,
subconiceps caucae,subconiceps,,,,,,subconiceps caucae,"Carriker, 1953c:334 ",,
subconiceps felisae,subconiceps,,,,,,subconiceps felisae,"Carriker, 1953c:336 ",,
subconiceps perijae,subconiceps,,,,,,subconiceps perijae,"Carriker, 1944a:111 ",,
subspinosus,subspinosus,"Carriker, 1936:89",,,,,,,,
taoi,taoi,"Carriker, 1944a:116",,,,,,,,
tinami,tinami,"Rudow, 1870b:473",Nirmus,,,,,,,
variegatus,variegatus,"Carriker, 1936:86",,,,,,,,
wernecki,wernecki,"Guimarães & Lane, 1937:17",,,,,,,,
aetheronomus,struthionis,,Lipeurus,,aetheronomus,"Nitzsch [In Giebel], 1861a:517) ",,,,
andinus,andinus,"Carriker, 1945b:168",,,,,,,,
asymmetricus,struthionis,,Lipeurus,,asymmetricus,"Kéler, 1960b:449",,,,
chilensis,chilensis,"Mey, 1998:77",,,,,,,,
nandu,nandu,"Eichler, 1950d:259",,,,,,,,
quadrimaculatus,struthionis,,Lipeurus,,quadrimaculatus,"Hopkins & Clay, 1952:343",,,,
renschi,renschi,"Eichler, 1943f:61",,,,,,,,
rheae,struthionis,,Esthiopterum,,rheae,"Kéler, 1960b:449",,,,
stresemanni,stresemanni,"Kéler, 1960b:451",,,,,,,,
struthionis,struthionis,"Gervais, 1844:354",Philopterus,,,,,,,
acuminatus,acuminatus,"Piaget, 1888:147",Docophorus,,,,,,,
acutifrons,neoacutifrons,,,,acutifrons,"nec Uchida, 1949:549",,,,
acutifrons,acutifrons,"Uchida, 1949:549",Philopterus,,,,,,,
aeneas,aeneas,"Piaget, 1885:5",Docophorus,,,,,,,
affinis,affinis,"Piaget, 1880:67",Docophorus,,,,,,,
afzali,afzali,"Ansari, 1968:6",,,,,,,,
atharea,atharea,"Ansari, 1955b:61",,,,,,,,
avivorax,avivorax,"Ansari, 1968:5",,,,,,,,
bannoo,bannoo,"Ansari, 1955b:62",,,,,,,,
bannoo avinus,bannoo,,,,,,bannoo avinus,"Ansari, 1968:9 ",,
bannoo laticephalum,bannoo,,,,,,bannoo laticephalum,"Ansari, 1968:9 ",,
basilewskyi,minor,,,,basilewskyi,,,,,
bituberculatus,bituberculatus,"Giebel, 1874:90",Docophorus,,,,,,,
blandus,blandus,"Z{l-}otorzycka, 1964b:278",,,,,,,,
boeevi,boeevi,"Balát, 1958:418",Penenirmus,,,,,,,
borobodur,borobodur,"Mey, 1989a:156",,,,,,,,
caligineus,caligineus,"Carriker, 1903:144",Nirmus,,,,,,,
caligineus mexicanus,caligineus,,,,,,caligineus mexicanus,"Carriker, 1956b:39 ",,
capensis,capensis,"Giebel, 1874:90",Docophorus,,,,,,,
capitis,capitis,"Ansari, 1955b:61",,,,,,,,
carpodaci,carpodaci,"Balát, 1981a:165",Rostrinirmus,,,,,,,
carrikeri,carrikeri,"Ansari, 1955a:68",,,,,,,,
chendoola,chendoola,"Ansari, 1955b:59",,,,,,,,
chilchil,chilchil,"Ansari, 1955b:59",,,,,,,,
clayae,clayae,"Ansari, 1968:5",,,,,,,,
continuus,continuus,"Piaget, 1880:88",Docophorus,,,,,,,
distinguendus,distinguendus,"Ansari, 1968:6",,,,,,,,
eichleri,eichleri,"Ansari, 1968:6",,,,,,,,
femoratus,femoratus,"Piaget, 1880:68",Docophorus,,,,,,,
fragilis,fragilis,"Ansari, 1968:8",,,,,,,,
galbula,galbula,"Tendeiro, 1963b:29",,,,,,,,
graculae,graculae,"Piaget, 1880:67",Docophorus,,,,,,,
guldum,guldum,"Ansari, 1955b:59",,,,,,,,
hudeci,hudeci,"Balát, 1981a:166",Rostrinirmus,,,,,,,
husaini,husaini,"Ansari, 1968:6",,,,,,,,
husaini prominens,husaini,,,,,,husaini prominens,"Ansari, 1968:6 ",,
incomptus,caligineus,,,,incomptus,"Emerson, 1981:138",,,,
intermedius,intermedius,"Ansari, 1955a:68",,,,,,,,
intermedius,neointermedius,,,,intermedius,"nec Ansari, 1955a:68",,,,
irritans,irritans,"Ansari, 1955b:60",,,,,,,,
leontodon,sturni,,Philopterus,,leontodon,"Hopkins & Clay, 1952:345",,,,
lopesi,lopesi,"Tendeiro, 1963b:21",,,,,,,,
meinertzhageni,meinertzhageni,"Ansari, 1968:5",,,,,,,,
melodicus,melodicus,"Eichler, 1951c:41",Turdinirmus,,,,,,,
migratorii,simplex,,Philopterus,,migratorii,"Hopkins & Clay, 1952:345",,,,
minor,minor,"Tendeiro, 1963b:17",,,,,,,,
neoacutifrons,neoacutifrons,See <i>acutifrons</i> Anseri,,,,,,,,
neointermedius,neointermedius,See <i>intermedius</i> Tendeiro,,,,,,,,
obsoletus,obsoletus,"Ansari, 1955a:68",,,,,,,,
opeca,opeca,"Ansari, 1968:5",,,,,,,,
orientalis,orientalis,"Mey, 1989a:158",,,,,,,,
ostralegi,sturni,,Docophorus,,ostralegi,"Hopkins & Clay, 1952:345",,,,
parvifrons,parvifrons,"Ansari, 1968:7",,,,,,,,
pastoris,pastoris,"Denny, 1842:43",Docophorus,,,,,,,
peguensis,peguensis,"Mey, 1989a:156",,,,,,,,
perunensis,perunensis,"Ansari, 1955a:64",,,,,,,,
pflegeri,pflegeri,"Balát, 1981a:166",Rostrinirmus,,,,,,,
philippensis,philippensis,"Tandan & Kumar, 1969a:205",,,,,,,,
quadrilineatus,quadrilineatus,"Nitzsch, 1866:117",Nirmus,,,,,,,
radui,radui,"Bechet, 1965:59",,,,,,,,
raji,raji,"Ansari, 1947:269",Penenirmus,,,,,,,
refractariolus,refractariolus,"Z{l-}otorzycka, 1964b:277",Rostrinirmus,,,,,,,
regalis,regalis,"Ansari, 1955a:64",,,,,,,,
rehanae,rehanae,"Ansari, 1955a:67",,,,,,,,
rostratus,rostratus,"Mey, 1982a:181",Rostrinirmus,,,,,,,
ruficeps,ruficeps,"Nitzsch [In Giebel], 1866:367",Nirmus,,,,,,,
saleimi,saleimi,"Ansari, 1955b:60",,,,,,,,
sarwatae,sarwatae,"Ansari, 1955a:73",Penenirmus,,,,,,,
senegalensis,senegalensis,"Rudow, 1869b:10",Docophorus,,,,,,,
sexualis,sexualis,"Tendeiro, 1963b:34",,,,,,,,
simplex,simplex,"Kellogg, 1896b:492",Nirmus,,,,,,,
stresemanni,stresemanni,"Mey, 1989a:154",,,,,,,,
sturni,sturni,"Schrank, 1776:118",Pediculus,,,,,,,
subacutus,subacutus,"Piaget, 1880:68",Docophorus,,,,,,,
suzume,ruficeps,,Philopterus,,suzume,"Emerson, 1972a:172",,,,
textoris,textoris,"Tendeiro, 1964:196",,,,,,,,
theresae,theresae,"Ansari, 1968:5",,,,,,,,
tulackovae,tulackovae,"Balát, 1981a:167",Rostrinirmus,,,,,,,
wittei,wittei,"Tendeiro, 1963b:46",,,,,,,,
xanthops,xanthops,"Tendeiro, 1963b:43",,,,,,,,
zahrae,zahrae,"Ansari, 1968:7",,,,,,,,
zahrae illustris,zahrae,,,,,,zahrae illustris,"Ansari, 1968:7 ",,
zoophilic,zoophilic,"Ansari, 1968:8",,,,,,,,
alchatae,alchatae,"Rudow, 1869b:36",Lipeurus,,,,,,,
alchatae,paradoxus,,Nirmus,,alchatae,"Hopkins & Clay, 1952:346",,,,
angulatus,angulatus,"Waterston, 1928a:353",,,,,,,,
bedfordi,bedfordi,"Waterston, 1928a:342",,,,,,,,
brevifrons,brevifrons,"Waterston, 1928a:339",,,,,,,,
declivis,declivis,"Waterston, 1928a:348",,,,,,,,
digonus,digonus,"Waterston, 1928a:345",,,,,,,,
emahusaini,emahusaini,"Ansari, 1947:281",,,,,,,,
excisus,excisus,"Waterston, 1928a:354",,,,,,,,
falcatus,falcatus,"Waterston, 1928a:345",,,,,,,,
mitratus,mitratus,"Waterston, 1928a:348",,,,,,,,
obtusus,obtusus,"Waterston, 1928a:354",,,,,,,,
pallasi,pallasi,"Waterston, 1928a:353",,,,,,,,
paradoxus,paradoxus,"Rudow, 1869b:18",Nirmus,,,,,,,
tibetanus,tibetanus,"Waterston, 1928a:342",,,,,,,,
uncinosus,uncinosus,"Waterston, 1928a:350",,,,,,,,
waterstoni,waterstoni,"Tendeiro, 1965b:106",,,,,,,,
clayae,clayae,"Guimarães, 1985a:37",,,,,,,,
gemina,gemina,"Guimarães, 1971:216",,,,,,,,
hitchcocki,hitchcocki,"Guimarães, 1971:214",,,,,,,,
andinae,andinae,"Carriker, 1944a:87",,,,,,,,
elegans,elegans,"Hellenthal, Price & Timm, 2002:138",,,,,,,,
wardi,wardi,"Hellenthal, Price & Timm, 2002:140",,,,,,,,
zyskowskii,zyskowskii,"Hellenthal, Price & Timm, 2002:139",,,,,,,,
aviator,aviator,"Evans, 1912a:270",Docophorus,,,,,,,
dimorphus,aviator,,Mackayia,,dimorphus,"Hopkins & Clay, 1952:349",,,,
flemingi,flemingi,"Timmer., 1959a:497",,,,,,,,
fuscoclypeatus,fuscoclypeatus,"Johnston & Harrison, 1912c:368",Philopterus,,,,,,,
heteracanthus,schillingi,,Mackayia,,heteracanthus,"Timmer., 1965:132",,,,
hexakon,hexakon,"Waterston, 1914:291",Giebelia,,,,,,,
mirabilis,mirabilis,"Kellogg, 1896a:138",Giebelia,,,,,,,
oestrelatae,schillingi,,Cecalymenus,,oestrelatae,"Hopkins & Clay, 1952:349",,,,
schillingi,schillingi,"Rudow, 1866b:467",,,,,,,,
aculeatus,aculeatus,"Piaget, 1880:266",Goniodes,,,,,,,
crassus,crassus,"Carriker, 1961a:206",,,,,,,,
grandior,grandior,"Carriker, 1961a:206",,,,,,,,
incertus,spinosus,,,,incertus,"Ward, 1957:348",,,,
praegracilis,praegracilis,"Carriker, 1944a:174",,,,,,,,
spinosus,spinosus,"Carriker, 1936:138",,,,,,,,
babakotophilus,babakotophilus,"Stobbe, 1913b:105",,,,,,,,
ferrisi,babakotophilus,,,,ferrisi,"Hopkins & Clay, 1952:356",,,,
aequatoriale,aequatoriale,"Tendeiro, 1960c:151",,,,,,,,
apaloderma,apaloderma,"Tendeiro, 1960c:145",,,,,,,,
curucui,curucui,"Carriker, 1955c:94",,,,,,,,
eleganus,eleganus,"Emerson, 1952b:118",,,,,,,,
hastiformis,hastiformis,"Carriker, 1903:136",Nirmus,,,,,,,
insolitus,insolitus,"Cicchino, 1983:284",Brueelia,,,,,,,
laticephalus,laticephalus,"Carriker, 1955c:94",,,,,,,,
melanurus,melanurus,"Carriker, 1955c:96",,,,,,,,
odontopleuron,odontopleuron,"Guimarães, 1944a:73",Degeeriella,,,,,,,
pharomacrus,pharomacrus,"Carriker, 1955c:91",,,,,,,,
strigilatus,strigilatus,"Carriker, 1955c:93",,,,,,,,
sulphureus,unidentifiable,,Nirmus,,sulphureus,"Hopkins & Clay, 1952:359",,,,
angusticeps,angustissimus,,Nirmus,,angusticeps,"Hopkins & Clay, 1952:359",,,,
angustissimus,angustissimus,"Giebel, 1866:382",Lipeurus,,,,,,,
nigrolineatus,nigrolineatus,"Piaget, 1885:60",Lipeurus,,,,,,,
platyclypeatus,platyclypeatus,"Piaget, 1880:678",Lipeurus,,,,,,,
arabica,arabica,"Tendeiro, 1965c:14",,,,,,,,
clayae,clayae,"Tendeiro, 1965c:16",,,,,,,,
cruzesilvai,cruzesilvai,"Tendeiro, 1965c:25",,,,,,,,
puylaerti,puylaerti,"Tendeiro, 1977:705",,,,,,,,
salimalii,salimalii,"Clay & Meinertzhagen, 1937:278",,,,,,,,
sudanicus,sudanicus,"Mjöberg, 1910b:85",Lipeurus,,,,,,,
thompsoni,thompsoni,"Tendeiro, 1965c:18",,,,,,,,
verheyeni,verheyeni,"Tendeiro, 1977:707",,,,,,,,
melanophrys,upupae,,Nirmus,,melanophrys,"Nitzsch [In Giebel], 1866:369) ",,,,
upupae,upupae,,Docophorus,,upupae,"Hopkins & Clay, 1952:361",,,,
upupae,upupae,"Schrank, 1803:189",Pediculus,,,,,,,
bergi,bergi,"Kellogg, 1906a:45",Lipeurus,,,,,,,
biprosapiae,biprosapiae,"Carriker, 1956a:128",Ditopos,,,,,,,
crotophagae,macgregori,,Lipeurus,,crotophagae,"Hopkins & Clay, 1952:361",,,,
guimaraesi,guimaraesi,"Thompson, 1948c:49",,,,,,,,
macgregori,macgregori,"Kellogg, 1899:33",Lipeurus,,,,,,,
absita,absita,"Kellogg, 1910b:119",Lipeurus,,,,,,,
accentor,fringillae,,,,accentor,"Rheinwald, 1968:203",,,,
agonus,rubeculae,,Physostomum,,agonus,"Hopkins & Clay, 1952:324",,,,
alphaaurigae,alphaaurigae,"Eichler, 1956:104",,,,,,,,
angulatus,marginatus,,Physostomum,,angulatus,"Nelson, 1972a:75",,,,
arcuatus,arcuatus,"Kellogg & Mann, 1912b:65",Physostomum,,,,,,,
australis,australis,"Kellogg, 1896b:516",Physostomum,,,,,,,
balati,balati,"Rheinwald, 1968:272",,,,,,,,
bombycillae,fringillae,,Physostomum,,bombycillae,"Rheinwald, 1968:202",,,,
borin,borin,"Balát, 1952:157",,,,,,,,
brelihi,brelihi,"Rheinwald, 1968:285",,,,,,,,
brevicapitis,brevicapitis,"Carriker, 1964c:48",,,,,,,,
butleri,butleri,"Oniki, 2000:53",,,,,,,,
calcarii,calcarii,"Nelson, 1972a:104",,,,,,,,
capensis,diffusus,,,,capensis,"Nelson, 1972a:99",,,,
carolynae,carolynae,"Nelson, 1972a:107",,,,,,,,
cherriei,cherriei,"Durrant, 1906b:36",Physostomum,,,,,,,
clayae,clayae,"Rheinwald, 1968:257",,,,,,,,
clypeatus,serratus,,Physostomum,,clypeatus,"Hopkins & Clay, 1952:325",,,,
complicatus,complicatus,"Carriker, 1964c:56",,,,,,,,
dalgleishi,dalgleishi,"Nelson, 1972a:82",,,,,,,,
dendroicae,dendroicae,"Nelson, 1972a:85",,,,,,,,
diffusus,diffusus,"Kellogg, 1896b:518",Physostomum,,,,,,,
diffusus pallidus,fringillae,,Physostomum,,,,diffusus pallidus,"Kellogg, 1896b:519",,
dolichocephalus,dolichocephalus,"Scopoli, 1763:382",Pediculus,,,,,,,
elongatus,elongatus,"Olfers, 1816:88",Nirmus,,,,,,,
emersoni,emersoni,"Nelson, 1972a:84",,,,,,,,
ernstlangi,elongatus,,,,ernstlangi,"Rheinwald, 1968:220",,,,
expeditionis,invadens,,,,expeditionis,"Nelson, 1972a:70",,,,
exsul,subangulatus,,,,exsul,"Nelson, 1972a:92",,,,
fasciatus,fasciatus,"Piaget, 1885:134",Physostomum,,,,,,,
flavicans,flavicans,"Carriker, 1964c:60",,,,,,,,
frenatus,frenatus,"Burm., 1838:442",Physostomum,,,,,,,
fringillae,fringillae,"De Geer, 1778:71",,,,,,,,
fringillae aureolae,fringillae,,,,,,fringillae aureolae,"Mey, 1982a:163 ",,
fringillae flammeae,fringillae,,,,,,fringillae flammeae,"Mey, 1982a:163 ",,
fringillae flavirostris,fringillae,,,,,,fringillae flavirostris,"Mey, 1982a:164 ",,
gibbus,gibbus,"Rheinwald, 1968:250",,,,,,,,
guianensis,polioptilus,,,,guianensis,"Nelson, 1972a:80",,,,
hastatus,fringillae,,Physostomum,,hastatus,"Rheinwald, 1968:202",,,,
inexpectatus,fringillae,,,,inexpectatus,"Rheinwald, 1968:203",,,,
intermedius,elongatus,,Physostomum,,intermedius,"Rheinwald, 1968:219",,,,
intermedius,fringillae,,Physostomum,,intermedius,"Hopkins & Clay, 1952:326",,,,
invadens,invadens,"Kellogg, 1899:50",Physostomum,,,,,,,
irascens,fringillae,,Physostomum,,irascens,"Rheinwald, 1968:202",,,,
ivanovi,ivanovi,"Blagov., 1951:283",,,,,,,,
japonicus,fringillae,,Physostomum,,japonicus,"Rheinwald, 1968:202",,,,
japonicus rheinwaldi,fringillae,,,,,,japonicus rheinwaldi,"Mey, 1982a:166 ",,
lanceolatus,pessimalis,,,,lanceolatus,"Nelson, 1972a:56",,,,
leptosomus,leptosomus,"Carriker, 1903:166",Physostomum,,,,,,,
machaeropterus machaeropterus,invadens,,,,,,machaeropterus machaeropterus,"Carriker, 1964c:59 ",,
machaeropterus subsimilis,invadens,,,,,,machaeropterus subsimilis,"Carriker, 1964c:60 ",,
macronyx,meinertzhageni,,,,macronyx,,,,,
maculatus,maculatus,"Piaget, 1885:133",Physostomum,,,,,,,
major,major,"Fresca, 1924b:276",,,,,,,,
manacus,pessimalis,,,,manacus,"Nelson, 1972a:56",,,,
mandibulatus,mandibulatus,"Nelson, 1972a:69",,,,,,,,
marginatus,marginatus,"Children, 1836:539",Physostomum,,,,,,,
medius,fringillae,,,,medius,"Rheinwald, 1968:202",,,,
meinertzhageni,meinertzhageni,"Rheinwald, 1968:288",,,,,,,,
melospizae,diffusus,,Physostomum,,melospizae,"Nelson, 1972a:99",,,,
merulae,elongatus,,Physostomum,,merulae,"Rheinwald, 1968:220",,,,
microcephalus,microcephalus,"Kellogg, 1896b:513",Physostomum,,,,,,,
mollisoni,mollisoni,"Rheinwald, 1968:247",,,,,,,,
mugimaki,mugimaki,"Uchida, 1915:70",Physostomum,,,,,,,
muscisaxicolae,muscisaxicolae,"Eichler, 1956:103",,,,,,,,
myiarchi,myiarchi,"Nelson, 1972a:52",,,,,,,,
mystax,elongatus,,Physostomum,,mystax,"Rheinwald, 1968:219",,,,
nigrolimbatus,unidentifiable,,Physostomum,,nigrolimbatus,"Nelson, 1972a:111",,,,
nitidissimus,fringillae,,Liotheum,,nitidissimus,"Hopkins & Clay, 1952:327",,,,
orbifrons,australis,,,,orbifrons,"Nelson, 1972a:108",,,,
orioli,dolichocephalus,,Pediculus,,orioli,"Fabricius [J.C.], 1777:309) ",,,,
pallens,pallens,"Kellogg, 1899:49",Physostomum,,,,,,,
pessimalis,pessimalis,"Eichler, 1956:115",,,,,,,,
pflegeri,pflegeri,"Balát, 1952:158",,,,,,,,
phoenicuri,rubeculae,,,,phoenicuri,"Rheinwald, 1968:264",,,,
picturatus,picturatus,"Carriker, 1902:224",Physostomum,,,,,,,
piechockii,piechockii,"Mey, 1984b:243",,,,,,,,
polioptilus,polioptilus,"Carriker, 1964c:54",,,,,,,,
polychopterus,arcuatus,,,,polychopterus,"Nelson, 1972a:48",,,,
praetextus,praetextus,"Nitzsch [In Giebel], 1874:257",Physostomum,,,,,,,
pronotus niger,arcuatus,,,,,,pronotus niger,"Carriker, 1964c:53 ",,
pronotus pronotus,arcuatus,,,,,,pronotus pronotus,"Carriker, 1964c:52 ",,
pronotus rufus,arcuatus,,,,,,pronotus rufus,"Carriker, 1964c:53 ",,
pterocephalus,rubeculae,,Nirmus,,pterocephalus,"Hopkins & Clay, 1952:327",,,,
ramphoceli,ramphoceli,"Nelson, 1972a:93",,,,,,,,
rubeculae,rubeculae,"Schrank, 1776:115",Pediculus,,,,,,,
rubinus,marginatus,,,,rubinus,"Nelson, 1972a:75",,,,
seiuri,seiuri,"Nelson, 1972a:88",,,,,,,,
serratus,serratus,"Durrant, 1906a:528",Physostomum,,,,,,,
serratus magnus,serratus,,,,,,serratus magnus,"Uchida, 1926:52 ",,
similis,marginatus,,,,similis,"Nelson, 1972a:75",,,,
similis,rubeculae,,Physostomum,,similis,"Rheinwald, 1968:264",,,,
sittae,sittae,"Nelson, 1972a:98",,,,,,,,
sorus,sorus,"Rheinwald, 1968:252",,,,,,,,
spadix,brevicapitis,,,,spadix,"Nelson, 1972a:47",,,,
subangulatus,subangulatus,"Carriker, 1903:168",Physostomum,,,,,,,
subdiffusus,subdiffusus,"Nelson, 1972a:97",,,,,,,,
subhastatus,subhastatus,"Durrant, 1906a:528",Physostomum,,,,,,,
subpallidus,fringillae,,,,subpallidus,"Rheinwald, 1968:203",,,,
subtenuis,sucinaceus,,,,subtenuis,"Nelson, 1972a:54",,,,
sucinaceus,sucinaceus,"Kellogg, 1896b:514",Physostomum,,,,,,,
sulphureus,dolichocephalus,,Liotheum,,sulphureus,"Hopkins & Clay, 1952:328",,,,
tanagraephilus,tanagraephilus,"Eichler, 1956:133",,,,,,,,
thoracicus,thoracicus,"Packard, 1870:94",Nirmus,,,,,,,
thoracicus,tinctus,,Physostomum,,thoracicus,"Hopkins & Clay, 1952:328",,,,
