specific,species,species_ref,genus_ori,subgenus,species_syn,species_syn_ref,subspecies_syn,subspecies_syn_ref,subspecies,subspecies_ref
grandiculus,piceus lari,,Colpocephalum,,grandiculus,"Hopkins & Clay, 1952:21",,,,
himantopi,himantopi,"Blagov., 1951:281",,,,,,,,
hirsutus,umbrinus,,,,hirsutus,"Clay, 1962a:212",,,,
hoplopteri,hoplopteri,"Mjöberg, 1910b:40",Colpocephalum,,,,,,,
hoplopteri maculosus,hoplopteri,,,,,,hoplopteri maculosus,"Carriker, 1963a:294 ",,
hoplopteri peruvianus,hoplopteri,,,,,,hoplopteri peruvianus,"Carriker, 1963a:295 ",,
hrabei,umbrinus,,,,hrabei,"Hopkins & Clay, 1955:177",,,,
incisus,incisus,"Piaget, 1880:569",Colpocephalum,,,,,,,
kilauensis,kilauensis,"Kellogg & Chapman, 1902b:161",Colpocephalum,,,,,,,
lacustris,lacustris,"Clay, 1962a:220",,,,,,,,
laticeps,grandiceps,,Colpocephalum,,laticeps,"Hopkins & Clay, 1952:22",,,,
laveni,ochraceus,,,,laveni,"Hopkins & Clay, 1955:177",,,,
limarius,limarius,"Clay, 1962a:222",,,,,,,,
limosae,limosae,"Kellogg, 1908:56",Colpocephalum,,,,,,,
lyallpurensis,lyallpurensis,"Ansari, 1955c:55",,,,,,,,
maurus,piceus piceus,,Colpocephalum,,maurus,"Nitzsch [In Giebel], 1866:395) ",,,,
mexicanus,mexicanus,"Emerson, 1953a:134",,,,,,,,
milleri,incisus,,Colpocephalum,,milleri,"Emerson, 1972b:17",,,,
morsitans,umbrinus,,Colpocephalum,,morsitans,"Emerson, 1972b:22",,,,
multisetosus,multisetosus,"Blagov., 1940:41",,,,,,,,
negroidalis,piceus piceus,,Larithophilus,,negroidalis,"Price & Emerson, 1966b:432",,,,
nodularis,nodularis,"Martinho Guimarães, 1988:157",,,,,,,,
numenii,patellatus,,Menopon,,numenii,"Clay, 1962a:243",,,,
ocellatus,ocellatus,"Rudow, 1869a:392",Colpocephalum,,,,,,,
ochraceus,limosae,,Colpocephalum,,ochraceus,"Hopkins & Clay, 1952:23",,,,
ochraceus,ochraceus,"Nitzsch, 1818:299",Liotheum,,,,,,,
ocularis,bicolor,,Colpocephalum,,ocularis,"Hopkins & Clay, 1952:23",,,,
pacificus,incisus,,Clypeodon,,pacificus,"Emerson, 1972b:17",,,,
paetulus,bicolor,,Colpocephalum,,paetulus,"Hopkins & Clay, 1952:23",,,,
paludosus,paludosus,"Clay, 1962a:219",,,,,,,,
patellatus,patellatus,"Piaget, 1890a:254",Colpocephalum,,,,,,,
pauliani,pauliani,"Séguy, 1953:591",,,,,,,,
pediculoides,pediculoides,"Mjöberg, 1910b:44",Colpocephalum,,,,,,,
perplanus,ochraceus,,Colpocephalum,,perplanus,"Emerson, 1972b:19",,,,
perrarus,ochraceus,,,,perrarus,"Emerson, 1972b:19",,,,
piceus lari,,,Colpocephalum,,,,,,piceus lari,"Packard, 1870:96"
piceus piceus,,,Liotheum,,,,,,piceus piceus,"Denny, 1842:198"
pustulatus,spinulosus,,Colpocephalum,,pustulatus,"Clay, 1962a:243",,,,
pustulosus,pustulosus,"Piaget, 1880:559",Colpocephalum,,,,,,,
raviensis,himantopi,,,,raviensis,"Clay, 1962a:243",,,,
sabulosus,sabulosus,"Clay, 1962a:228",,,,,,,,
scopularius,gracilis,,Liotheum,,scopularius,"Emerson, 1972b:17",,,,
sedes,sedes,"Eichler, 1944d:56",,,,,,,,
sperabilis,piceus piceus,,Larithophilus,,sperabilis,"Price & Emerson, 1966b:432",,,,
spinulosus,spinulosus,"Piaget, 1880:563",Colpocephalum,,,,,,,
spinulosus minor,umbrinus,,Colpocephalum,,,,spinulosus minor,"Kellogg & Chapman, 1899:112",,
spinulosus obscurus,bicolor,,Colpocephalum,,,,spinulosus obscurus,"Carriker {& Shull}, 1910:52",,
stictus,stictus,"Kellogg & Paine, 1911b:77",Colpocephalum,,,,,,,
subpustulatus,unidentifiable,,Colpocephalum,,subpustulatus,,,,,
sulcatus,piceus,,Colpocephalum,,sulcatus,,,,,
piceus,piceus,"REF: Hopkins & Clay, 1952:24",,,,,,,,
svobodae,gracilis,,,,svobodae,"Emerson, 1972b:17",,,,
tetralicis,tetralicis,"Clay, 1962a:206",,,,,,,,
tigrus,bicolor,,Colpocephalum,,tigrus,"Emerson, 1972b:16",,,,
timidus,ochraceus,,Colpocephalum,,timidus,"Emerson, 1972b:19",,,,
totani,totani,"Schrank, 1803:191",Pediculus,,,,,,,
trilobatus,umbrinus,,Colpocephalum,,trilobatus,"Emerson, 1972b:22",,,,
umbrinus,umbrinus,"Burm., 1838:438",Colpocephalum,,,,,,,
umbrinus,umbrinus,,Colpocephalum,,umbrinus,"Emerson, 1972b:22",,,,
umbrosus,umbrinus,,Colpocephalum,,umbrosus,"Clay, 1962a:212",,,,
uniformis,uniseriatus,,Colpocephalum,,uniformis,"Emerson, 1972b:23",,,,
uniseriatus,uniseriatus,"Piaget, 1880:562",Colpocephalum,,,,,,,
waar,waar,"Eichler, 1947b:135",Franciscoloa,,,,,,,
aburris,aburris,"Carriker, 1950c:502 ",,Cracimenopon,,,,,,
aethiopica,powelli,,,,aethiopica,"Scharf & Price, 1983:443",,,,
afropavo,afropavo,"Benoit, 1962:20 ",,Argimenopon,,,,,,
agelastes,agelastes,"Tendeiro, 1965b:40 ",,Argimenopon,,,,,,
borgesferreirai,borgesferreirai,"Tendeiro, 1980d:90 ",,Argimenopon,,,,,,
caquetae,caquetae,"Carriker, 1967d:41",Cracimenopon,Cracimenopon,,,,,,
complicata,complicata,"Carriker, 1967c:35",Desumenopon,Desumenopon,,,,,,
cracis,cracis,"Giebel, 1866:391",Menopon,Cracimenopon,,,,,,
desousai,desousai,"Kéler, 1952c:29",Menacanthus,Numidimenopon,,,,,,
elbeli,elbeli,"Emerson & Stojanovich, 1963:263 ",,Amyrsidea,,,,,,
francolinus,francolinus,"Bedford, 1920a:712",Menopon,Argimenopon,,,,,,
fulvomaculata,fulvomaculata,"Denny, 1842:199",Menopon,Argimenopon,,,,,,
garruli,garruli,"Carriker, 1950c:506 ",,Cracimenopon,,,,,,
gujanensis,gujanensis,"Carriker, 1950c:509 ",,Desumenopon,,,,,,
hexapilosus,perdicis,,Menopon,,hexapilosus,"Scharf & Price, 1983:446",,,,
himalayensis,tetraogalli,,,,himalayensis,,,,,
huilensis,caquetae,,Cracimenopon,,huilensis,"Scharf & Emerson, 1984:883",,,,
hyperythra,hyperythra,"Carriker, 1954d:25",Desumenopon,Desumenopon,,,,,,
