type_host,host_species,host_auth,host_order,host_family,invalid_host,host_ref,family,generic,genus,genus_ref,genus_type,genus_type_ref,specific,species,species_ref,genus_ori,subgenus,species_syn,species_syn_ref,subspecies_syn,subspecies_syn_ref,subspecies,subspecies_ref,genus_syn,genus_syn_ref,genus_new_syn
,Canis aureus,L. ,Carnivora,Can.,,"Emerson & Price, 1981b:45",BOOPIIDAE,Heterodoxus,Heterodoxus,"Le Souëf & Bullen, 1902b:159",Heterodoxus macropus,Le Souëf & Bullen,spiniger,spiniger,"Enderlein, 1909a:80",Menopon,,,,,,,,,,
,Canis latrans,Say ,Carnivora,Can.,,"Emerson & Price, 1981b:45",BOOPIIDAE,Heterodoxus,Heterodoxus,"Le Souëf & Bullen, 1902b:159",Heterodoxus macropus,Le Souëf & Bullen,spiniger,spiniger,"Enderlein, 1909a:80",Menopon,,,,,,,,,,
*,Canis lupus familiaris,L.,Carnivora,Can.,,,BOOPIIDAE,Heterodoxus,Heterodoxus,"Le Souëf & Bullen, 1902b:159",Heterodoxus macropus,Le Souëf & Bullen,spiniger,spiniger,"Enderlein, 1909a:80",Menopon,,,,,,,,,,
,Urocyon cinereoargenteus,Schreber) ,Carnivora,Can.,,"Emerson & Price, 1981b:46",BOOPIIDAE,Heterodoxus,Heterodoxus,"Le Souëf & Bullen, 1902b:159",Heterodoxus macropus,Le Souëf & Bullen,spiniger,spiniger,"Enderlein, 1909a:80",Menopon,,,,,,,,,,
,Civettictis civetta,Schreber) ,Carnivora,Viverr.,,"Emerson & Price, 1981b:49",BOOPIIDAE,Heterodoxus,Heterodoxus,"Le Souëf & Bullen, 1902b:159",Heterodoxus macropus,Le Souëf & Bullen,spiniger,spiniger,"Enderlein, 1909a:80",Menopon,,,,,,,,,,
,Genetta victoriae,Thomas ,Carnivora,Viverr.,,"Emerson & Price, 1981b:49",BOOPIIDAE,Heterodoxus,Heterodoxus,"Le Souëf & Bullen, 1902b:159",Heterodoxus macropus,Le Souëf & Bullen,spiniger,spiniger,"Enderlein, 1909a:80",Menopon,,,,,,,,,,
,Macropus agilis,Gould) ,Diprotodontia,Macropod.,,"Palma & Barker, 1996:101",BOOPIIDAE,Heterodoxus,Heterodoxus,"Le Souëf & Bullen, 1902b:159",Heterodoxus macropus,Le Souëf & Bullen,spiniger,spiniger,"Enderlein, 1909a:80",Menopon,,,,,,,,,,
*,Canis lupus familiaris,L. ,Carnivora,Can.,,,BOOPIIDAE,Heterodoxus,Heterodoxus,"Le Souëf & Bullen, 1902b:159",Heterodoxus macropus,Le Souëf & Bullen,spinigerum,spiniger,,Menopon,,spinigerum,"Hopkins & Clay, 1952:172",,,,,,,
*,Wallabia bicolor,Desmarest) ,Diprotodontia,Macropod.,,,BOOPIIDAE,Heterodoxus,Heterodoxus,"Le Souëf & Bullen, 1902b:159",Heterodoxus macropus,Le Souëf & Bullen,ualabati,ualabati,"Plomley, 1940:21",,,,,,,,,,,
*,Macropus rufogriseus,Desmarest) ,Diprotodontia,Macropod.,,,BOOPIIDAE,Latumcephalum,Latumcephalum,"Le Souëf, 1902a:51",Latumcephalum macropus,Le Souëf,greeni,greeni,"Clay, 1974c:2",,,,,,,,,,,
