generic,genus,genus_ref,genus_type,genus_type_ref,genus_syn,genus_syn_ref,genus_new_syn,subgenus,subgenus_ref,subgenus_type,subgenus_type_ref
Eomenopon,Eomenopon,"Harrison, 1915a:385",Eomenopon denticulatum,Harrison,,,,,,,
Epiara,Epiara,"Carriker, 1954b:158",Epiara dimorpha,Carriker,,,,,,,
Eucolpocephalum,Eucolpocephalum,"Bedford, 1930:161",Eucolpocephalum robustum,Bedford,,,,,,,
Eureum,Eureum,"Nitzsch, 1818:301",Eureum cimicoides,Burm.,,,,,,,
Trinoton,Trinoton,,Trinoton femoratum,"Eichler, 1941a:126 ",Ewingella,"Hopkins & Clay, 1952:135",,,,,
Colpocephalum,Colpocephalum,,Falcocephalum pricei,"Tendeiro, 1989c:150 ",Falcocephalum,,New Syn,,,,
Falcomenopon,Falcomenopon,"Emerson & Elbel, 1958:30",Kurodaia boonsongi,Emerson & Elbel,,,,,,,
Falcophilus,Cuculiphilus,"Scharf & Price, 1965:552",,,,,,Falcophilus,"Guimarães, 1942c:241 ",Menopon alternatum,Osborn
Colpocephalum,Colpocephalum,,Colpocephalum turbinatum,"Uchida, 1926:43 ",Ferrisia,"Hopkins & Clay, 1952:141",,,,,
Franciscoloa,Franciscoloa,"Conci, 1942b:35",Franciscoloa cacatuae,Conci,,,,,,,
Fregatiella,Fregatiella,"Ryan & Price, 1969b:825",Menopon aurifasciatum,Kellogg,,,,,,,
Menacanthus,Menacanthus,,Menopon cornutum,"Eichler, 1971:166 ",Gallacanthus,"Ledger, 1980:56",,,,,
Colpocephalum,Colpocephalum,,Galliferrisia tausi,"Ansari, 1951:150 ",Galliferrisia,"Hopkins & Clay, 1953:438",,,,,
Colpocephalum,Colpocephalum,,Colpocephalum appendiculatum,"Eichler, 1947a:10 ",Galligogus,"Hopkins & Clay, 1952:142",,,,,
Holomenopon,Holomenopon,,Holomenopon goliath,"Eichler, 1982:83 ",Goliathipon,"Palma & Barker, 1996:129",,,,,
Gruimenopon,Gruimenopon,"Clay & Meinertzhagen, 1941:339",Menopon longum,Giebel,,,,,,,
Colpocephalum,Colpocephalum,,Gypsigogus novoannus,"Eichler & Z{l-}otorzycka, 1963c:212 ",Gypsigogus,"Price & Emerson, 1966b:430",,,,,
Heleonomus,Heleonomus,"Ferris, 1916:305",Colpocephalum truncatum,Piaget,,,,,,,
Heterokodeia,Heterokodeia,"Carriker, 1954b:161",Heterokodeia spinosa,Carriker,,,,,,,
